question_name,difficulty,llm_code_creation_time,total_tokens,cost_prompt,judge_predict,execution_time,AC,WA,RE,TLE,CE,total_test_cases
Caça ao Tesouro_2011,Médio,2.6166951180020988,1572,0.0039279999999999,AC,0.18417940000108501,22,0,0,0,0,22
Gomoku,Médio,2.919266476001212,1912,0.004652,AC,0.28044169999884616,30,0,0,0,0,30
Notas da Prova,Fácil,1.7801681230012036,1009,0.002302,AC,0.25662889999875915,20,0,0,0,0,20
Jogo da Vida,Médio,3.3786349410002003,1911,0.004958,AC,1.0189757000007376,19,0,0,0,0,19
Muro,Médio,2.370485210998595,2180,0.004952,WA,0.35524420000001555,3,38,0,0,0,41
O Chefe,Médio,9.141316318000465,2597,0.009042,WA,3.0,2,4,3,19,0,28
Proteja sua senha,Médio,3.251216488002683,1499,0.00391,WA,0.12211500000012165,5,5,0,0,0,10
Chinelos,Fácil,1.8360898499995528,1105,0.002594,AC,0.16667620000043826,16,0,0,0,0,16
Jogo dos copos,Fácil,2.0699543009977788,1237,0.00301,AC,0.33409819999906176,50,0,0,0,0,50
Tiro ao Alvo,Médio,3.1086785789993883,1353,0.003578,AC,1.3803057000004628,41,0,0,0,0,41
Robô_2021,Médio,1.9582396899968444,1272,0.003096,AC,0.4359722999997757,50,0,0,0,0,50
Transportes,Difícil,6.108205006999924,2449,0.006874,TLE,3.0,86,0,0,21,0,107
Jogo de Dominós,Fácil,1.4834560790004616,795,0.001706,WA,0.4655299999994895,1,41,0,0,0,42
Arco e flecha,Médio,4.179696851999324,1447,0.004382,RE,0.9421892999998818,2,0,37,0,0,39
Móbile,Médio,2.8825825800013263,1895,0.004602,AC,0.7080548000012641,103,0,0,0,0,103
Campo de Minhocas,Fácil,2.272444327001722,1354,0.003384,AC,0.17921240000032412,20,0,0,0,0,20
Entrega de Caixas,Fácil,2.0571393050013285,1072,0.002656,WA,0.3299979000003077,17,5,0,0,0,22
Cinema,Fácil,1.3988699959991209,644,0.001564,AC,0.16324010000062117,20,0,0,0,0,20
Montanha,Médio,1.386671932999889,1014,0.0023279999999999,AC,0.37329940000017814,33,0,0,0,0,33
Torre,Médio,2.135101764000865,1089,0.00287,WA,1.3620025000000169,0,33,0,0,0,33
Mesa redonda,Fácil,1.7600971419997222,1090,0.002608,WA,0.4735921999999846,0,65,0,0,0,65
Pizzaria,Fácil,1.1407032089991844,1066,0.0023079999999999,AC,0.13019899999926565,10,0,0,0,0,10
Redes de Descanso,Médio,4.937268444999063,1550,0.004696,WA,2.552476299999398,1,34,0,0,0,35
Mancha,Médio,6.127330362000066,2154,0.006196,WA,3.0,9,2,0,19,0,30
Escher,Fácil,2.9494201369998336,1104,0.0031399999999999,AC,0.5178319999995438,54,0,0,0,0,54
Nova avenida,Fácil,1.7098347670034857,1060,0.002616,AC,0.34151120000024093,12,0,0,0,0,12
Game Show,Fácil,1.467422241003078,1207,0.002642,AC,0.24902640000073006,25,0,0,0,0,25
Manchas de pele,Difícil,4.531361424000352,1443,0.00421,AC,1.8006858000007924,61,0,0,0,0,61
Castelos da Nlogônia,Médio,4.142010016999848,1505,0.004214,AC,0.2912740000010672,36,0,0,0,0,36
Capitais,Difícil,3.3451640299972496,1185,0.0035859999999999,WA,0.8004558000011457,1,37,0,0,0,38
Quadrado Mágico_2022,Médio,4.8072731560023385,1288,0.004416,AC,0.1810901000008016,20,0,0,0,0,20
Piloto Automático,Fácil,1.5742541820000042,878,0.001996,AC,0.18829720000030647,17,0,0,0,0,17
Falta uma,Fácil,2.085490821998974,905,0.002294,RE,0.3733916000001045,2,21,5,0,0,28
Palavras Cruzadas_2020,Médio,2.2049174860003404,1334,0.0033159999999999,AC,0.2825455999991391,20,0,0,0,0,20
Piso da escola,Fácil,1.9259107849975408,1239,0.002846,WA,0.27527179999924556,1,29,0,0,0,30
Ônibus,Médio,2.3473139560010168,1094,0.0029119999999999,AC,0.24982479999926,19,0,0,0,0,19
Chocolate em barra,Fácil,2.820593389998976,1139,0.00307,AC,0.3072050999999192,28,0,0,0,0,28
Campo Minado,Fácil,1.4502698479991525,946,0.0022199999999999,AC,0.4134316999989096,48,0,0,0,0,48
Fila_2025,Médio,1.6844589079992147,1429,0.003222,WA,0.33914329999970505,19,7,0,0,0,26
Jogo dos Pinos,Fácil,2.3029012999977567,1280,0.003308,AC,0.20194579999952111,16,0,0,0,0,16
Diagonal,Médio,2.854006843001116,1358,0.0035839999999999,WA,3.0,16,25,0,5,0,46
Sr. Toupeira,Médio,2.876812785001676,1554,0.003968,AC,1.076976399999694,26,0,0,0,0,26
Sr. Sapo,Difícil,3.981952285997977,1519,0.004466,AC,0.4050272999993467,29,0,0,0,0,29
Duende Perdido,Médio,4.442599603000417,1647,0.004786,AC,0.237964899999497,20,0,0,0,0,20
Bingo!,Médio,2.87825339200208,1270,0.003528,AC,1.212445299999672,35,0,0,0,0,35
Ponto do meio,Fácil,1.3056519869969634,978,0.002168,AC,0.27274279999983264,31,0,0,0,0,31
Game-10,Fácil,1.1189912459994955,974,0.0021479999999999,AC,0.34649139999964973,46,0,0,0,0,46
TV da Vovó,Médio,3.637356533999992,1924,0.004968,WA,2.327449599999454,1,9,0,0,0,10
Dança Indígena,Difícil,160.72361009900123,16375,0.0926579999999999,RE,0.5394980000000942,0,0,30,0,0,30
Chuva_2016,Médio,2.914249784000276,1149,0.00317,WA,0.5592544999999518,36,4,0,0,0,40
Dança de Formatura,Médio,3.753005791997566,2000,0.005416,WA,3.027297999999064,15,35,0,5,0,55
Cubo Preto,Fácil,1.73040974900141,965,0.002342,AC,0.10226180000063323,11,0,0,0,0,11
Competição de chocolate,Médio,1.8108021820007707,1129,0.002498,WA,0.43856070000038017,72,17,0,0,0,89
Reduzindo detalhes em um mapa,Fácil,4.05410036199828,1363,0.003854,AC,0.9399721999998292,52,0,0,0,0,52
Dominó_2019,Fácil,0.9724957090002136,837,0.001782,AC,0.3711581000006845,42,0,0,0,0,42
Caminho das Pontes,Difícil,2.843897056998685,1710,0.0042959999999999,RE,0.4806836000007024,4,0,26,0,0,30
Macacos me mordam!,Difícil,3.166887446997862,1234,0.003424,WA,1.3088872999996966,16,22,0,0,0,38
Rodovia_2022,Difícil,8.310520430000906,2079,0.008018,WA,1.533574499999304,5,8,0,0,0,13
VAR,Fácil,1.2892667749983957,1045,0.0022619999999999,AC,0.34453539999958593,41,0,0,0,0,41
Computador,Difícil,7.440017280001484,1722,0.006368,WA,3.1869552999996813,0,37,0,5,0,42
Pulo do Gato,Médio,2.432664501000545,1344,0.003372,RE,0.7449914000007993,0,0,47,0,0,47
Semente,Fácil,2.2485766720019456,1058,0.0028599999999999,AC,0.3439734999992652,40,0,0,0,0,40
Álbum de fotos,Médio,4.55920945500111,1217,0.003898,AC,0.6496131000003516,57,0,0,0,0,57
Toca do Saci,Médio,4.016327065997757,1569,0.0045579999999999,TLE,3.0,2,1,0,48,0,51
Caminhos do reino,Difícil,99.6638659220007,11855,0.065594,RE,0.694783599999937,0,0,40,0,0,40
Cartas,Fácil,1.3594328600011067,772,0.0017159999999999,AC,0.2299421000006987,30,0,0,0,0,30
Flíper,Fácil,1.1613153660000537,845,0.001866,AC,0.1677029999991646,15,0,0,0,0,15
Avião,Médio,2.974322376998316,1419,0.003394,AC,0.2436020000004646,32,0,0,0,0,32
Medalhas,Fácil,1.3652055599995947,900,0.002108,AC,0.4059906000002229,69,0,0,0,0,69
Elevador_2018,Fácil,2.3946292369982984,1444,0.0036119999999999,WA,0.3077646999990975,13,11,0,0,0,24
Cubra os Furos,Médio,4.1526357300026575,1771,0.004842,WA,0.33313900000030117,0,10,0,0,0,10
Carro elétrico,Difícil,6.227090694999788,1819,0.006314,WA,1.3349041999990732,1,18,0,0,0,19
Dario e Xerxes,Fácil,2.765185524000117,1100,0.003296,AC,0.1959551999989344,22,0,0,0,0,22
O Tabuleiro Esburacado,Fácil,2.7829096320019744,1360,0.003508,AC,0.18660710000040126,20,0,0,0,0,20
Retas,Médio,4.921281734998047,2272,0.006484,WA,3.0,3,15,0,25,0,43
Viagem,Difícil,6.7240197520004585,1860,0.005292,AC,0.3488414000003104,28,0,0,0,0,28
Soma,Médio,2.197293625002203,1046,0.002848,AC,1.601859099999274,46,0,0,0,0,46
Estoque,Fácil,1.986995727002068,1402,0.0034879999999999,AC,0.2974754999995639,23,0,0,0,0,23
Frete,Médio,2.806837937998353,1335,0.0035859999999999,AC,0.35730100000000675,35,0,0,0,0,35
Caçadores de Mitos,Fácil,1.609240908001084,1278,0.002972,AC,1.0288698000003933,20,0,0,0,0,20
Linhas Cruzadas,Médio,3.17946618300266,1510,0.0040199999999999,AC,0.9295928999999887,40,0,0,0,0,40
Bolas,Fácil,1.7725437549997878,1013,0.002354,AC,0.1579753999994864,19,0,0,0,0,19
Xadrez Aleatório,Médio,2.061503057000664,897,0.002198,AC,0.5598637000002782,57,0,0,0,0,57
Bombom,Fácil,2.821969200998865,1121,0.003006,AC,0.3139136000008875,50,0,0,0,0,50
Câmara de Compensação,Difícil,4.421484256999975,2156,0.006028,WA,1.8963557999995828,0,26,2,0,0,28
Taxa,Difícil,15.865764911999577,3090,0.013644,RE,0.5935735000002751,0,0,36,0,0,36
Atlanta,Fácil,4.131717124997522,1161,0.003642,WA,0.30914169999959995,12,28,0,0,0,40
Fuga com helicóptero,Fácil,1.804865663001692,1001,0.00251,AC,0.4748194000003423,74,0,0,0,0,74
