question_name,difficulty,llm_code_creation_time,total_tokens,cost_prompt,judge_predict,execution_time,AC,WA,RE,TLE,CE,total_test_cases
Torre,Médio,5.637087985989638,2767,0.0023396,AC,1.5464492950000022,33,0,0,0,0,33
Capitais,Difícil,44.07107631498366,8780,0.0114293,WA,0.5852903749999996,5,33,0,0,0,38
Chocolate em barra,Fácil,3.5243667869945057,1969,0.0010932,AC,0.05561029599994072,28,0,0,0,0,28
Fita Colorida,Médio,10.55014756199671,2950,0.0026271,AC,0.09610643299993171,31,0,0,0,0,31
Fila_2015,Difícil,46.31832232500892,10284,0.0133304,TLE,3.0,4,0,0,26,0,30
Quebra-cabeça,Médio,6.86520311498316,2419,0.0018605,AC,0.6153607220001049,24,0,0,0,0,24
Prêmio do Milhão,Fácil,2.8209701500018127,1939,0.0011405,AC,0.05712740099988878,20,0,0,0,0,20
Móbile_2015,Fácil,2.322869252995588,1617,0.0008732999999999,AC,0.06093192599996655,30,0,0,0,0,30
Família real,Médio,8.664202899992233,3097,0.0027384,AC,0.09605200400005742,15,0,0,0,0,15
Mina,Médio,8.403768196993042,2775,0.0023815,AC,0.1272230220001802,40,0,0,0,0,40
Cálculo,Médio,17.22924860799685,5099,0.0055035,WA,0.08009130000004916,26,3,0,0,0,29
Cobra coral,Fácil,27.658770383015508,6129,0.0075178,AC,0.05455524700005299,25,0,0,0,0,25
Letras,Médio,867.8203920500237,257253,0.3842506,NO CODE,0.0,0,0,0,0,0,64
Arquivos,Médio,7.257443634007359,2328,0.0018787,AC,0.2819553750000523,32,0,0,0,0,32
Código,Fácil,2.749596870999085,1687,0.0008821,AC,0.05842531700000109,28,0,0,0,0,28
Gomoku,Médio,6.611808379006106,3071,0.0018167,AC,0.05761679299996558,30,0,0,0,0,30
Jogo da Vida,Médio,3.8365238269907422,2932,0.001772,AC,0.5068631190000588,19,0,0,0,0,19
Muro,Médio,544.2135501669836,169062,0.2521526,NO CODE,0.0,0,0,0,0,0,41
Lâmpadas do hotel,Fácil,6.745818227995187,2424,0.0018342,AC,0.11026819000005617,54,0,0,0,0,54
Chinelos,Médio,3.8893516450189054,2221,0.001375,AC,0.049133216999962315,16,0,0,0,0,16
Hotel,Fácil,14.705608120013494,4956,0.0055659,AC,0.0649613190000764,30,0,0,0,0,30
