question_name,difficulty,llm_code_creation_time,total_tokens,cost_prompt,judge_predict,execution_time,AC,WA,RE,TLE,CE,total_test_cases
Gomoku,Médio,6.333058090998748,2481,0.010671,AC,0.05797990199994274,30,0,0,0,0,30
Jogo da Vida,Médio,5.014038609999261,2585,0.012723,AC,0.3420808999999281,19,0,0,0,0,19
Muro,Médio,38.32755673000065,4053,0.044043,WA,0.08924555900000541,2,39,0,0,0,41
Lâmpadas do hotel,Fácil,5.920434290999765,1784,0.008844,AC,0.09542919000000438,54,0,0,0,0,54
Chinelos,Médio,2.8213240770001,1815,0.007269,AC,0.03873228400004791,16,0,0,0,0,16
Hotel,Fácil,4.737700259998746,1650,0.005946,WA,0.05177661699997316,10,20,0,0,0,30
Jogo dos copos,Fácil,3.4687093109987472,1862,0.007746,AC,0.11116918599998371,50,0,0,0,0,50
Carnaval,Fácil,2.171441108999716,1404,0.004788,AC,0.07596991800005526,40,0,0,0,0,40
Tiro ao Alvo,Médio,4.057053420001466,2009,0.009051,AC,0.5413391669999328,41,0,0,0,0,41
Transportes,Difícil,12.630115867999848,3708,0.021228,TLE,3.0,95,0,0,12,0,107
Álbum da copa,Fácil,2.969564253999124,1611,0.005685,AC,0.049979590000020835,25,0,0,0,0,25
Jogo de Dominós,Fácil,2.003379570998732,1379,0.004581,AC,0.06780912599992917,42,0,0,0,0,42
Arco e flecha,Difícil,4.266440571000203,1960,0.008844,RE,0.19200473999990209,0,0,39,0,0,39
Quadrado Mágico,Fácil,5.011913518999791,1684,0.008196,RE,0.19868779900002664,0,0,40,0,0,40
Quase primo,Médio,5.021990354000081,1704,0.008208,TLE,3.0,53,0,0,10,0,63
Lâmpadas,Fácil,2.883496508000462,1463,0.005481,AC,0.16403669700002865,40,0,0,0,0,40
Caça ao Tesouro_2002,Difícil,7.85765860399988,2698,0.014466,AC,2.4085425230005058,9,0,0,0,0,9
Rodovia_2013,Difícil,6.135768639000162,2031,0.0106769999999999,AC,0.5846561979997205,78,0,0,0,0,78
Coleção de Upas,Médio,6.959802492998279,1986,0.010602,RE,0.20959995999999137,0,0,42,0,0,42
Cinema,Fácil,3.7826746569990064,1287,0.005013,AC,0.04832646099998783,20,0,0,0,0,20
Fila,Médio,4.836232397999993,1635,0.006441,AC,0.37716454999997495,44,0,0,0,0,44
Montanha,Fácil,3.964758262000032,1587,0.005997,AC,0.05117467000002307,33,0,0,0,0,33
Chuva,Médio,5.219491765999919,1855,0.009465,RE,0.1346037979999437,2,6,17,0,0,25
Festa olímpica,Difícil,17.34286082700055,2778,0.019926,TLE,3.0,31,0,0,3,0,34
"Pô, que mão",Fácil,2.959695827001269,1568,0.005916,AC,0.088756604000082,120,0,0,0,0,120
Relógio,Médio,2.8677285249996203,1756,0.006876,AC,0.08196995399998741,52,0,0,0,0,52
Torre,Médio,3.534053346000292,1676,0.007404,WA,1.2784487260000788,0,33,0,0,0,33
Mesa redonda,Fácil,2.3960480939986155,1659,0.0060209999999999,AC,0.0846745579999606,65,0,0,0,0,65
Sorvete,Médio,4.2141089030010335,2104,0.009564,AC,0.21036990300001435,10,0,0,0,0,10
Expressões,Fácil,3.272827320999568,1785,0.007515,AC,0.631286664000072,51,0,0,0,0,51
Mancha,Médio,17.915851475001546,3118,0.024438,RE,0.16410893600004783,0,0,30,0,0,30
Direção,Fácil,2.462566219999644,1341,0.005247,AC,0.05227997899999082,24,0,0,0,0,24
Nova avenida,Médio,9.251295973999731,2141,0.013419,AC,0.16726312100001905,12,0,0,0,0,12
Telescópio,Fácil,2.37707652500103,1940,0.006816,AC,0.09793474699995386,33,0,0,0,0,33
Game Show,Fácil,2.4451817340013804,1979,0.006921,AC,0.05591134400003739,25,0,0,0,0,25
Manchas de pele,Difícil,3.8186807069996576,1884,0.00972,AC,1.260426341000084,61,0,0,0,0,61
Temperatura Lunar,Médio,5.167389286998514,2193,0.010995,AC,0.1455821869999454,10,0,0,0,0,10
Castelos da Nlogônia,Difícil,4.869618990998788,2158,0.011262,AC,0.06902881300004537,36,0,0,0,0,36
Matriz Escada,Médio,6.28706474899991,1770,0.008418,AC,0.29630676499994024,59,0,0,0,0,59
Pedágio_2002,Médio,5.9854840870011685,2226,0.011394,WA,0.0971741519988427,0,10,0,0,0,10
Fusões,Médio,5.492491933000565,2091,0.010449,AC,0.3177786420000075,29,0,0,0,0,29
Capitais,Difícil,27.259723131999635,3133,0.029847,AC,0.531412064000051,38,0,0,0,0,38
Falta uma,Fácil,4.089265222999529,1517,0.006975,AC,0.3766826779999519,28,0,0,0,0,28
Sanduíche,Médio,4.720663660000355,1892,0.009108,TLE,3.0,0,0,37,42,0,79
Blefe,Médio,7.859494293999887,2101,0.012747,TLE,3.0,28,0,0,22,0,50
Tabela do campeonato,Médio,8.463838495001255,2196,0.012816,RE,0.43112099800009673,0,0,124,0,0,124
Clube dos Cinco,Difícil,4.437052314000539,1842,0.007698,AC,0.14356697999994594,81,0,0,0,0,81
Piso da escola,Fácil,12.642173346001073,2264,0.015672,AC,0.06756252100001348,30,0,0,0,0,30
Caravana,Fácil,3.5450161450007727,1553,0.005463,AC,0.031251695000037216,8,0,0,0,0,8
Ônibus,Médio,4.307398430999456,1711,0.007989,AC,0.1401728659999435,19,0,0,0,0,19
Chocolate_2012,Fácil,4.725414777998594,1337,0.004587,AC,0.1171149819999755,50,0,0,0,0,50
Chocolate em barra,Fácil,5.227751201000501,1726,0.007398,AC,0.06835655800000495,28,0,0,0,0,28
Altas Aventuras,Difícil,14.883743299000344,2322,0.016326,AC,0.11535313000001679,53,0,0,0,0,53
Jogo dos Pinos,Fácil,3.769226529999287,1805,0.008331,AC,0.06199260400001094,16,0,0,0,0,16
Fechadura,Fácil,13.838410405000104,2442,0.018654,AC,0.12314594199995099,50,0,0,0,0,50
Sr. Toupeira,Médio,3.810841679000077,2323,0.010077,AC,1.6470009959999743,26,0,0,0,0,26
Sr. Sapo,Médio,5.913729623998734,2187,0.011961,AC,0.14731866900001478,29,0,0,0,0,29
