question_name,difficulty,llm_code_creation_time,total_tokens,cost_prompt,judge_predict,execution_time,AC,WA,RE,TLE,CE,total_test_cases
Gomoku,Médio,93.0119596099994,3137,0.0056054,AC,0.059462894000034794,30,0,0,0,0,30
Jogo da Vida,Médio,128.05868416999874,6323,0.0159589999999999,AC,0.2753585230000226,19,0,0,0,0,19
Muro,Médio,195.2679629510003,9533,0.0279272,AC,0.07569050200004313,41,0,0,0,0,41
Lâmpadas do hotel,Fácil,83.20086687099865,6769,0.0188492,AC,0.08989992400006486,54,0,0,0,0,54
Chinelos,Médio,57.33697839499837,4584,0.0115998,AC,0.03645596600017598,16,0,0,0,0,16
Hotel,Fácil,59.07045584299885,4010,0.0099566,AC,0.0661487020001914,30,0,0,0,0,30
Jogo dos copos,Fácil,70.49550739699953,6126,0.0164528,AC,0.08894315499992445,50,0,0,0,0,50
Carnaval,Fácil,33.08091924800101,3183,0.007682,AC,0.07158587800017813,40,0,0,0,0,40
Tiro ao Alvo,Médio,96.95440772499931,5684,0.014946,AC,0.6686501169999701,41,0,0,0,0,41
Transportes,Difícil,229.83366603800096,12080,0.0333672,TLE,3.0,81,0,0,26,0,107
Álbum da copa,Fácil,44.01174266199996,2907,0.0064952,AC,0.06936066399998708,25,0,0,0,0,25
Jogo de Dominós,Fácil,46.98369491999984,2285,0.0048238,AC,0.07109881000019413,42,0,0,0,0,42
Arco e flecha,Difícil,91.01952421399984,7726,0.0215552,TLE,3.0277178270000604,23,0,0,16,0,39
Quadrado Mágico,Fácil,119.2432166630024,3437,0.008343,RE,0.2951840019998144,0,0,40,0,0,40
Quase primo,Médio,189.23211486400032,14784,0.0446248,AC,0.4644655719998809,63,0,0,0,0,63
Lâmpadas,Fácil,54.77094300200042,3425,0.0084167999999999,AC,0.15626504900001237,40,0,0,0,0,40
Caça ao Tesouro_2002,Difícil,107.83301819999906,9240,0.0254649999999999,WA,0.0263773189981293,0,9,0,0,0,9
Rodovia_2013,Difícil,83.75281206300133,9698,0.0279601999999999,AC,0.157114861998707,78,0,0,0,0,78
Coleção de Upas,Médio,48.53423011699852,6496,0.017804,AC,0.6789781729999049,42,0,0,0,0,42
Cinema,Fácil,22.492998358997284,2213,0.004908,AC,0.05244802399988657,20,0,0,0,0,20
Fila,Médio,30.351722543000506,3957,0.0098596,AC,0.3273037619999286,44,0,0,0,0,44
Montanha,Fácil,29.30637773700073,2935,0.0066354,AC,0.0658227070000521,33,0,0,0,0,33
Chuva,Médio,210.1327191349992,12978,0.0387598,RE,0.12366141699999389,2,7,16,0,0,25
Festa olímpica,Difícil,159.40109256899814,17519,0.0526001999999999,TLE,3.0,31,0,0,3,0,34
"Pô, que mão",Fácil,16.48434200200063,2844,0.006408,AC,0.11740096600010475,120,0,0,0,0,120
Relógio,Médio,42.07687398300186,4566,0.0116324,AC,0.09190187700005481,52,0,0,0,0,52
Torre,Médio,59.10148322099849,7092,0.0199092,AC,1.012431197000069,33,0,0,0,0,33
Mesa redonda,Fácil,37.2394314230005,4623,0.011828,AC,0.0912461620000613,65,0,0,0,0,65
Sorvete,Médio,46.8002913220007,5005,0.0125642,AC,0.2027762159998474,10,0,0,0,0,10
Expressões,Fácil,28.211903015002463,3635,0.0086422,AC,0.6027652709999529,51,0,0,0,0,51
Mancha,Médio,110.0622198480014,9787,0.0278446,AC,0.24587091600005806,30,0,0,0,0,30
Direção,Fácil,19.798159984999074,2506,0.0057224,AC,0.05497225299995989,24,0,0,0,0,24
Nova avenida,Médio,108.72942717700062,11945,0.03532,AC,0.11565381700006583,12,0,0,0,0,12
Telescópio,Fácil,22.284204616000352,4293,0.0101977999999999,AC,0.08922049900002094,33,0,0,0,0,33
Game Show,Fácil,10.30605854100213,3230,0.0068181999999999,AC,0.05700261800006956,25,0,0,0,0,25
Manchas de pele,Difícil,46.966916068999126,5579,0.0149554,AC,1.3875034840000353,61,0,0,0,0,61
Temperatura Lunar,Médio,32.25791849699817,4782,0.011833,AC,0.08911754900009328,10,0,0,0,0,10
