question_name,difficulty,llm_code_creation_time,total_tokens,cost_prompt,judge_predict,execution_time,AC,WA,RE,TLE,CE,total_test_cases
Caça ao Tesouro_2011,Médio,4.365136558000813,1561,0.006807,AC,0.22171560000060708,22,0,0,0,0,22
Gomoku,Médio,3.7098708630001056,1868,0.008472,AC,0.27377379999961704,30,0,0,0,0,30
Notas da Prova,Fácil,2.068115562000457,1073,0.004059,WA,0.19455229999948642,7,13,0,0,0,20
Jogo da Vida,Médio,5.424749675999919,1999,0.010245,AC,0.6490011999994749,19,0,0,0,0,19
Muro,Médio,23.6033698550018,2371,0.025077,WA,0.4159558000010293,3,38,0,0,0,41
O Chefe,Médio,25.68422715500492,2881,0.023127,AC,0.49882369999977527,28,0,0,0,0,28
Proteja sua senha,Médio,8.790060610997898,1763,0.011481,WA,0.10710800000015297,5,5,0,0,0,10
Chinelos,Fácil,2.2772917769980268,1181,0.004755,AC,0.14218499999878986,16,0,0,0,0,16
Jogo dos copos,Fácil,2.8499083899951074,1264,0.005772,AC,0.3875828000000183,50,0,0,0,0,50
Tiro ao Alvo,Médio,7.779379316001723,1674,0.010386,AC,0.5491768000010779,41,0,0,0,0,41
Robô_2021,Médio,3.052432055999816,1295,0.004869,WA,0.432287700001325,33,17,0,0,0,50
Transportes,Difícil,8.52217160500004,2971,0.017397,TLE,3.0,98,0,0,9,0,107
Jogo de Dominós,Fácil,2.390788079996128,787,0.0026969999999999,AC,0.3470790000010311,42,0,0,0,0,42
Arco e flecha,Médio,4.797773326004972,1388,0.007428,RE,0.6794559000009031,0,0,39,0,0,39
Móbile,Médio,6.969825177999155,1731,0.010065,WA,0.8247694000001502,102,1,0,0,0,103
Campo de Minhocas,Fácil,4.656207127001835,1496,0.006168,AC,0.18853410000156146,20,0,0,0,0,20
Entrega de Caixas,Fácil,16.694632538004953,1843,0.016269,AC,0.20031439999911527,22,0,0,0,0,22
Cinema,Fácil,12.102004208994911,1159,0.010785,RE,0.3408617000004597,0,0,20,0,0,20
Montanha,Médio,2.107391013996676,985,0.003951,AC,0.34115919999931066,33,0,0,0,0,33
Torre,Médio,3.07901932799723,1120,0.005676,WA,0.7298597000008158,0,33,0,0,0,33
Mesa redonda,Fácil,7.020758243001183,1279,0.007089,AC,0.49100670000007085,65,0,0,0,0,65
Pizzaria,Fácil,2.1098400880000554,1067,0.003645,AC,0.14078800000061165,10,0,0,0,0,10
Redes de Descanso,Médio,14.39905987399834,1906,0.014982,AC,0.40193879999969795,35,0,0,0,0,35
Mancha,Médio,10.087580825005716,1999,0.014649,AC,0.5054070000005595,30,0,0,0,0,30
Escher,Fácil,2.742087626000284,950,0.003954,WA,0.4595093999996607,46,8,0,0,0,54
Nova avenida,Fácil,8.575886673999776,1521,0.011115,AC,0.22050970000054804,12,0,0,0,0,12
Game Show,Fácil,2.0798819509946043,1362,0.004878,AC,0.21901690000049712,25,0,0,0,0,25
Manchas de pele,Difícil,4.57886121699994,1402,0.007818,AC,1.5971709999994346,61,0,0,0,0,61
Castelos da Nlogônia,Médio,7.203089899994666,1644,0.010548,AC,0.36065339999913704,36,0,0,0,0,36
Capitais,Difícil,20.756234253,2177,0.022059,AC,0.5921887999993487,38,0,0,0,0,38
Quadrado Mágico_2022,Médio,3.926381252997089,1060,0.005952,AC,0.21700530000089202,20,0,0,0,0,20
Piloto Automático,Fácil,2.126426053000614,921,0.003723,AC,0.15714120000120602,17,0,0,0,0,17
Falta uma,Fácil,3.0984264929938945,893,0.004611,AC,0.45397609999963606,28,0,0,0,0,28
Palavras Cruzadas_2020,Médio,3.473551424998732,1226,0.005526,AC,0.3076810000002297,20,0,0,0,0,20
Piso da escola,Fácil,14.76182902900473,1696,0.014148,AC,0.3643155999998271,30,0,0,0,0,30
Ônibus,Médio,8.08755776900216,1189,0.007131,AC,0.20770190000075672,19,0,0,0,0,19
Chocolate em barra,Fácil,3.227705140998296,1114,0.005562,AC,0.2637150999998994,28,0,0,0,0,28
Campo Minado,Fácil,2.449326622998342,987,0.003957,AC,0.29018639999958395,48,0,0,0,0,48
Fila_2025,Médio,3.5750529439974343,1182,0.004974,AC,0.2898875000009866,26,0,0,0,0,26
Jogo dos Pinos,Fácil,5.366537553003582,1302,0.007614,AC,0.1853897999990295,16,0,0,0,0,16
Diagonal,Médio,14.430809344994486,2324,0.0196679999999999,AC,1.1928596999987349,46,0,0,0,0,46
Sr. Toupeira,Médio,4.381149877997814,1793,0.009123,AC,1.0830309000011766,26,0,0,0,0,26
