Unnamed: 0,question_name,difficulty,llm_code_creation_time,total_tokens,cost_prompt,judge_predict,execution_time,AC,WA,RE,TLE,CE,total_test_cases
0,Torre,Médio,62.95359086399549,8648,0.00337272,AC,2.122337510008947,33,0,0,0,0,33
1,Capitais,Difícil,361.4595098849968,40177,0.01566903,AC,0.5188236329995561,38,0,0,0,0,38
2,Chocolate em barra,Fácil,24.219759063998936,2605,0.00101595,AC,0.0563603160117054,28,0,0,0,0,28
3,Fita Colorida,Médio,24.25701967300847,3568,0.00139152,AC,0.0814196539868135,31,0,0,0,0,31
4,Fila_2015,Difícil,130.46714495199558,17685,0.00689715,TLE,15.0,17,0,0,13,0,30
5,Quebra-cabeça,Médio,29.699019983992912,4120,0.0016068,AC,0.4618811569962417,24,0,0,0,0,24
6,Prêmio do Milhão,Fácil,19.097626720991684,2033,0.0007928700000000001,AC,0.0482602269912604,20,0,0,0,0,20
7,Móbile_2015,Fácil,14.627562702997238,2373,0.0009254700000000001,AC,0.0627574109967099,30,0,0,0,0,30
8,Família real,Médio,83.36348534800345,10295,0.00401505,AC,0.0636244540073676,15,0,0,0,0,15
9,Mina,Médio,22.343264608993195,3259,0.0012710100000000002,AC,0.0724664890003623,40,0,0,0,0,40
10,Cálculo,Médio,148.73492467399046,18461,0.00719979,AC,0.054531620000489,29,0,0,0,0,29
11,Cobra coral,Fácil,195.6908788189903,21055,0.00821145,AC,0.0488544269901467,25,0,0,0,0,25
12,Letras,Médio,57.39654282500851,6848,0.00267072,AC,0.4306895650079241,64,0,0,0,0,64
13,Arquivos,Médio,29.06170197000029,3843,0.0014987700000000002,AC,0.1966446430014912,32,0,0,0,0,32
14,Código,Fácil,11.149158295986126,1667,0.0006501300000000001,AC,0.0566676029993686,28,0,0,0,0,28
