question_name,difficulty,llm_code_creation_time,total_tokens,cost_prompt,judge_predict,execution_time,AC,WA,RE,TLE,CE,total_test_cases
Gomoku,Médio,28.81647323000652,2363,0.00070728,AC,0.06336167399996384,30,0,0,0,0,30
Jogo da Vida,Médio,37.337884071996086,2246,0.00066934,AC,0.32124215999999706,19,0,0,0,0,19
Muro,Médio,142.71615869400557,6194,0.0024346,WA,0.09315817999998899,6,35,0,0,0,41
Lâmpadas do hotel,Fácil,38.04971881299571,2646,0.00092904,AC,0.08651520000000801,54,0,0,0,0,54
Chinelos,Médio,5.459757069998886,1587,0.00046802,AC,0.03919628599999214,16,0,0,0,0,16
Hotel,Fácil,21.756018845000654,1503,0.00044338,AC,0.05801819200002001,30,0,0,0,0,30
Jogo dos copos,Fácil,7.1932263689959655,1669,0.00049322,AC,0.09186675500001229,50,0,0,0,0,50
Carnaval,Fácil,12.397865207007271,1232,0.00035476,AC,0.07027267500001244,40,0,0,0,0,40
Tiro ao Alvo,Médio,16.804408431999036,1699,0.0005033,WA,0.6923240329999771,2,39,0,0,0,41
Transportes,Difícil,20.934524849013545,2831,0.00084826,TLE,3.0,86,0,0,21,0,107
Álbum da copa,Fácil,7.051194988991483,1452,0.00042364,AC,0.05620826199998419,25,0,0,0,0,25
Jogo de Dominós,Fácil,6.616950652998639,1278,0.00037366,AC,0.09411297299999433,42,0,0,0,0,42
Arco e flecha,Difícil,31.92340337000496,1994,0.00063196,RE,1.0889054780000151,0,1,38,0,0,39
Quadrado Mágico,Fácil,36.14946363099443,1570,0.00048776,RE,0.22854024399998707,0,0,40,0,0,40
Quase primo,Médio,18.267179252012284,1448,0.00043414,TLE,3.0,54,0,0,9,0,63
Lâmpadas,Fácil,11.38379565399373,1302,0.0003815,AC,0.15140422600001102,40,0,0,0,0,40
Caça ao Tesouro_2002,Difícil,11.91814803199668,2259,0.00068278,AC,1.1726613159989938,9,0,0,0,0,9
Rodovia_2013,Difícil,15.41240929000196,1812,0.00056266,AC,0.2606437540089246,78,0,0,0,0,78
