question_name,difficulty,llm_code_creation_time,total_tokens,cost_prompt,judge_predict,execution_time,AC,WA,RE,TLE,CE,total_test_cases
Caça ao Tesouro_2011,Médio,5.075588741001411,1847,0.008925,AC,0.04518953800015879,22,0,0,0,0,22
Gomoku,Médio,5.842302044002281,1989,0.008751,AC,0.04750733200035029,30,0,0,0,0,30
Notas da Prova,Fácil,3.580039744996612,1164,0.004332,AC,0.0382212200001959,20,0,0,0,0,20
Jogo da Vida,Médio,5.925517264000519,2183,0.011289,AC,0.23183188600069116,19,0,0,0,0,19
Muro,Médio,8.846426467996935,2930,0.014538,AC,0.05866087399954267,41,0,0,0,0,41
O Chefe,Médio,12.857706577997304,3095,0.023613,AC,0.25875425300000643,28,0,0,0,0,28
Proteja sua senha,Médio,10.41087389400127,2023,0.013545,WA,0.023843337000471365,5,5,0,0,0,10
Chinelos,Fácil,2.594818718996976,1261,0.004959,AC,0.03133041100045375,16,0,0,0,0,16
Jogo dos copos,Fácil,3.500397414998588,1441,0.006303,AC,0.06998073199974897,50,0,0,0,0,50
Tiro ao Alvo,Médio,7.596602052002709,1726,0.010458,AC,0.39324347100046,41,0,0,0,0,41
Robô_2021,Médio,3.677642915998149,1358,0.005058,WA,0.058760846000041056,33,17,0,0,0,50
Transportes,Difícil,10.20699635100027,3045,0.017715,TLE,3.0,96,0,0,11,0,107
Jogo de Dominós,Fácil,3.693330165999214,867,0.002937,AC,0.05310823300078482,42,0,0,0,0,42
Arco e flecha,Médio,5.251784832998965,1508,0.00774,RE,0.14636777000032453,0,0,39,0,0,39
Móbile,Médio,7.091685856998083,2444,0.0125639999999999,WA,0.1679121600000144,102,1,0,0,0,103
Campo de Minhocas,Fácil,2.9184017830011726,1547,0.006321,AC,0.045181537999269494,20,0,0,0,0,20
Entrega de Caixas,Fácil,9.747565059002229,1616,0.011316,AC,0.04104986499987717,22,0,0,0,0,22
Cinema,Fácil,4.155879070000083,661,0.002847,AC,0.040204410000114876,20,0,0,0,0,20
Montanha,Médio,2.5531999740014726,1114,0.004338,AC,0.0508188860003429,33,0,0,0,0,33
Torre,Médio,3.506937464000657,1191,0.005937,WA,0.5778805400004785,0,33,0,0,0,33
Mesa redonda,Fácil,6.4816008689995215,1413,0.008199,AC,0.0664697869997326,65,0,0,0,0,65
Pizzaria,Fácil,2.697604334000061,1202,0.004014,AC,0.02219629699993675,10,0,0,0,0,10
Redes de Descanso,Médio,17.196445854999183,2296,0.0182039999999999,RE,0.15873012300016853,0,0,35,0,0,35
Mancha,Médio,21.456793068999104,3103,0.022533,RE,0.10565670100004354,0,0,30,0,0,30
Escher,Fácil,3.724654460002057,1056,0.004068,AC,0.0815173409991985,54,0,0,0,0,54
Nova avenida,Fácil,9.040619723997224,1649,0.012399,WA,0.08195647599950462,1,11,0,0,0,12
Game Show,Fácil,2.5330800699994143,1404,0.005004,AC,0.039288913000746106,25,0,0,0,0,25
Manchas de pele,Difícil,4.677924655999959,1580,0.00894,AC,0.9921732430002521,61,0,0,0,0,61
Castelos da Nlogônia,Médio,5.010182074998738,1810,0.010902,AC,0.052332021000438544,36,0,0,0,0,36
Capitais,Difícil,23.238252592000208,2656,0.028236,RE,0.18023731199991744,0,0,38,0,0,38
Quadrado Mágico_2022,Médio,5.867152179998811,1216,0.007332,AC,0.043266081000183476,20,0,0,0,0,20
Piloto Automático,Fácil,2.2034268629977305,969,0.003867,AC,0.030832723999992595,17,0,0,0,0,17
Falta uma,Fácil,5.395630729999539,1128,0.0066599999999999,AC,0.26749161399948207,28,0,0,0,0,28
Palavras Cruzadas_2020,Médio,4.005972042999929,1490,0.006318,AC,0.08602073100064445,20,0,0,0,0,20
Piso da escola,Fácil,16.470051180000155,2089,0.015783,RE,0.13398953700016136,0,0,30,0,0,30
Ônibus,Médio,3.9574499359987385,1294,0.006954,AC,0.055683710999801406,19,0,0,0,0,19
Chocolate em barra,Fácil,3.214981080000144,1221,0.005787,AC,0.0387574329997733,28,0,0,0,0,28
Campo Minado,Fácil,3.7222973850002745,1041,0.004119,AC,0.05657021800016082,48,0,0,0,0,48
Fila_2025,Médio,4.150977658999182,1729,0.007215,AC,0.15889426400008233,26,0,0,0,0,26
Jogo dos Pinos,Fácil,4.843180371000926,1566,0.008298,AC,0.027054111000325065,16,0,0,0,0,16
Diagonal,Médio,30.79077679599868,3292,0.033288,RE,0.17154568399928394,0,0,46,0,0,46
Sr. Toupeira,Médio,4.7093761730029655,1768,0.00792,AC,0.7016121740007293,26,0,0,0,0,26
Sr. Sapo,Difícil,6.818936263000069,1753,0.010347,AC,0.11342396800046117,29,0,0,0,0,29
Duende Perdido,Médio,7.684645647001162,1832,0.009828,AC,0.03346943399992597,20,0,0,0,0,20
Bingo!,Médio,6.470280796002044,1507,0.009237,AC,1.0904103020002367,35,0,0,0,0,35
Ponto do meio,Fácil,2.702871821998997,1088,0.003516,AC,0.04803214100047626,31,0,0,0,0,31
Game-10,Fácil,2.9299748779994843,1088,0.004008,AC,0.06621534599980805,46,0,0,0,0,46
TV da Vovó,Médio,9.126063521001925,2574,0.015246,WA,0.3419317050002064,0,10,0,0,0,10
Dança Indígena,Difícil,17.45294279799782,3050,0.026382,RE,0.13972467900021002,0,0,30,0,0,30
Chuva_2016,Médio,4.513717466001253,1376,0.00804,AC,0.3430913000001965,40,0,0,0,0,40
Dança de Formatura,Médio,5.43214911099858,2321,0.011679,AC,1.8016210550003962,55,0,0,0,0,55
Cubo Preto,Fácil,2.8888696700014407,1047,0.004041,AC,0.026785051999468124,11,0,0,0,0,11
Competição de chocolate,Médio,4.248588067999663,1417,0.006171,WA,0.07515182200040726,72,17,0,0,0,89
Reduzindo detalhes em um mapa,Fácil,5.040702382997552,1526,0.008118,AC,0.6737549169993144,52,0,0,0,0,52
Dominó_2019,Fácil,2.2960341069992865,928,0.00312,AC,0.06637755500014464,42,0,0,0,0,42
Caminho das Pontes,Difícil,5.907248640000034,2066,0.010242,RE,0.17538839499957248,4,0,26,0,0,30
Macacos me mordam!,Difícil,26.46251953899992,2663,0.026325,TLE,3.0,17,0,0,21,0,38
Rodovia_2022,Difícil,25.56389751499956,2925,0.028983,RE,0.084240502999819,0,0,13,0,0,13
VAR,Fácil,2.235652358001971,1160,0.004104,AC,0.056343604999710806,41,0,0,0,0,41
Computador,Difícil,20.04291769300108,2390,0.022626,AC,1.7390975100006472,42,0,0,0,0,42
Pulo do Gato,Médio,4.548444254996866,1456,0.006108,RE,0.16565761899983045,0,0,47,0,0,47
Semente,Fácil,5.83711121899978,1274,0.007662,AC,0.06736860099954356,40,0,0,0,0,40
Álbum de fotos,Médio,7.639384620000783,1417,0.009915,AC,0.06762924299982842,57,0,0,0,0,57
Toca do Saci,Médio,8.432232388997363,1820,0.01086,WA,0.8824050620005437,33,18,0,0,0,51
Caminhos do reino,Difícil,28.91093746500337,3636,0.035448,WA,1.1667904349997116,10,30,0,0,0,40
Cartas,Fácil,2.789887284998258,826,0.00315,AC,0.05216471399944567,30,0,0,0,0,30
Flíper,Fácil,3.282197494001593,913,0.003447,WA,0.026698282999859657,4,11,0,0,0,15
Avião,Médio,4.274045772002864,1610,0.006282,AC,0.05087056800039136,32,0,0,0,0,32
Medalhas,Fácil,5.956127674999152,949,0.003711,AC,0.08830873600072664,69,0,0,0,0,69
Elevador_2018,Fácil,21.20141017099741,2576,0.021276,TLE,3.0,14,0,0,10,0,24
Cubra os Furos,Médio,12.219434639999236,2384,0.014832,WA,0.14629361100014648,8,1,1,0,0,10
Carro elétrico,Difícil,9.861677987999428,2048,0.014592,AC,0.1198870860007446,19,0,0,0,0,19
Dario e Xerxes,Fácil,28.432981140002084,2285,0.023199,RE,0.11779207600011432,0,0,22,0,0,22
O Tabuleiro Esburacado,Fácil,10.544299893001153,2068,0.015216,AC,0.04119404300035967,20,0,0,0,0,20
Retas,Médio,21.23418347400002,3795,0.031089,RE,0.1553633700004866,0,0,43,0,0,43
Viagem,Difícil,7.345523526000761,2258,0.013146,AC,0.09721859799992671,28,0,0,0,0,28
Soma,Médio,3.918527372999961,1124,0.00564,AC,0.8586323549998269,46,0,0,0,0,46
Estoque,Fácil,3.5406284519995097,1607,0.006465,AC,0.06075818600038474,23,0,0,0,0,23
Frete,Médio,3.63025364999703,1507,0.007509,AC,0.05780910900011804,35,0,0,0,0,35
Caçadores de Mitos,Fácil,3.1627788149999105,1451,0.005553,AC,0.8228457320001326,20,0,0,0,0,20
Linhas Cruzadas,Médio,6.505904233003093,1753,0.008799,AC,0.43328333899989957,40,0,0,0,0,40
Bolas,Fácil,4.149482683002134,1150,0.004758,AC,0.04392273200028285,19,0,0,0,0,19
Xadrez Aleatório,Médio,5.069220534001943,1105,0.006255,AC,0.06803159400078584,57,0,0,0,0,57
Bombom,Fácil,4.019410233999224,1286,0.006738,AC,0.06898479600022256,50,0,0,0,0,50
Câmara de Compensação,Difícil,22.17366307699922,3037,0.021303,RE,0.11319485500007431,0,0,28,0,0,28
Taxa,Difícil,25.345960933998867,3042,0.028506,RE,0.1592251470001429,0,0,36,0,0,36
Atlanta,Fácil,7.614084239001386,1425,0.010443,AC,0.051939083999968716,40,0,0,0,0,40
Fuga com helicóptero,Fácil,5.674998279002466,1121,0.005175,AC,0.08037554000020464,74,0,0,0,0,74
Pirâmide,Fácil,2.5702165010006865,1101,0.004167,WA,0.048480814999493305,1,38,0,0,0,39
Wifi,Difícil,23.24567398400177,2882,0.022578,RE,0.11782838999988599,0,0,22,0,0,22
Fitas Verde-amarelas,Difícil,19.6393797990022,3897,0.031623,RE,0.17160898100064514,0,0,60,0,0,60
Retângulo,Difícil,21.600509657997463,2301,0.022431,AC,0.12067718199978117,35,0,0,0,0,35
Copa do Mundo,Médio,12.091912692998449,2839,0.020073,AC,0.08933210200029862,50,0,0,0,0,50
Passa Bolinha,Difícil,9.92726478700206,1886,0.0134939999999999,AC,0.0780824900002699,40,0,0,0,0,40
Transmissão de Energia,Médio,5.829478775001917,1826,0.009666,AC,0.12501001600048767,10,0,0,0,0,10
