question_name,difficulty,llm_code_creation_time,total_tokens,cost_prompt,judge_predict,execution_time,AC,WA,RE,TLE,CE,total_test_cases
Gomoku,Médio,41.90981069600093,5537,0.00215943,AC,0.05103753499999897,30,0,0,0,0,30
Torre,Médio,358.8196672460035,40600,0.015834,AC,0.7824233850000013,33,0,0,0,0,33
Capitais,Difícil,269.55387088000134,31782,0.01239498,WA,0.5678150950000003,31,7,0,0,0,38
Chocolate em barra,Fácil,14.765570048999509,2470,0.0009633,AC,0.05054819600000826,28,0,0,0,0,28
Fita Colorida,Médio,44.559147464009584,6222,0.00242658,AC,0.0678632949999951,31,0,0,0,0,31
Fila_2015,Difícil,237.23878170199168,26074,0.01016886,TLE,3.0,5,0,0,25,0,30
Quebra-cabeça,Médio,55.24119626099127,7149,0.00278811,AC,0.5164971500000064,24,0,0,0,0,24
Prêmio do Milhão,Fácil,19.226897929009283,3092,0.00120588,AC,0.048318236999989495,20,0,0,0,0,20
Móbile_2015,Fácil,15.602688298997236,2512,0.00097968,AC,0.06208037100000752,30,0,0,0,0,30
Família real,Médio,58.87814282000181,8206,0.00320034,AC,0.05781576999999061,15,0,0,0,0,15
Mina,Médio,21.60474347999844,3710,0.0014469,AC,0.08799044899998876,40,0,0,0,0,40
Cálculo,Médio,134.96277330600424,17249,0.00672711,AC,0.06355475699999147,29,0,0,0,0,29
Cobra coral,Fácil,162.67251045801095,22779,0.00888381,AC,0.04707181099999502,25,0,0,0,0,25
Letras,Médio,61.72835280399886,7365,0.00287235,RE,0.13266413599998828,0,0,22,0,0,22
Arquivos,Médio,18.793734161998145,2926,0.00114114,AC,0.23585695899998882,32,0,0,0,0,32
Código,Fácil,11.864263878000202,2258,0.00088062,AC,0.05702403699999081,28,0,0,0,0,28
Jogo da Vida,Médio,35.54982283200661,5666,0.00220974,AC,0.46020018800000173,19,0,0,0,0,19
Muro,Médio,369.2102508460084,44665,0.01741935,AC,0.07612817199999711,41,0,0,0,0,41
Lâmpadas do hotel,Fácil,34.06799750500068,5521,0.00215319,AC,0.07409560400000004,54,0,0,0,0,54
Chinelos,Médio,12.293964810989564,2458,0.00095862,AC,0.035954550999996115,16,0,0,0,0,16
Hotel,Fácil,23.0930811700091,3509,0.00136851,AC,0.047625416000002474,30,0,0,0,0,30
Jogo dos copos,Fácil,18.845187173006707,3162,0.00123318,AC,0.06767636200000027,50,0,0,0,0,50
Carnaval,Fácil,22.6985051100055,3837,0.00149643,AC,0.06557516499999849,40,0,0,0,0,40
Tiro ao Alvo,Médio,16.43134662399825,3438,0.00134082,AC,0.4411300149999988,41,0,0,0,0,41
Transportes,Difícil,595.4580477620038,67977,0.02651103,NO CODE,0.0,0,0,0,0,0,107
Álbum da copa,Fácil,6.536467101002927,1784,0.00069576,AC,0.04689329800000053,25,0,0,0,0,25
Jogo de Dominós,Fácil,9.90339125599712,2058,0.00080262,AC,0.06366080900000526,42,0,0,0,0,42
Arco e flecha,Difícil,289.7516062469949,33553,0.01308567,TLE,3.0041168820000053,18,0,0,21,0,39
Quadrado Mágico,Fácil,65.84320192100131,8549,0.00333411,RE,0.17479568900000686,0,0,40,0,0,40
Quase primo,Médio,215.05803605700203,23842,0.00929838,AC,0.3237852790000062,63,0,0,0,0,63
Lâmpadas,Fácil,22.9825558589946,3373,0.00131547,AC,0.14226766000000168,40,0,0,0,0,40
Caça ao Tesouro_2002,Difícil,73.90775259899965,9207,0.00359073,AC,0.0286201190028805,9,0,0,0,0,9
Rodovia_2013,Difícil,29.949728358988068,4189,0.00163371,AC,0.1601811889995588,78,0,0,0,0,78
Coleção de Upas,Médio,76.39244469998812,9236,0.00360204,AC,0.6824111959999897,42,0,0,0,0,42
Cinema,Fácil,6.134678624002845,1597,0.00062283,AC,0.04792636800000594,20,0,0,0,0,20
Fila,Médio,11.30453835699882,2488,0.00097032,AC,0.2692322340000004,44,0,0,0,0,44
Montanha,Fácil,31.22419280000031,4517,0.00176163,AC,0.051120679000007385,33,0,0,0,0,33
Chuva,Médio,566.5386400589923,66846,0.02606994,NO CODE,0.0,0,0,0,0,0,40
Festa olímpica,Difícil,220.98820747400168,23956,0.00934284,AC,2.454070122999994,34,0,0,0,0,34
"Pô, que mão",Fácil,14.552126130001852,2501,0.00097539,AC,0.11583583099999828,120,0,0,0,0,120
Relógio,Médio,21.105400323998765,3317,0.00129363,AC,0.0740882000000056,52,0,0,0,0,52
Mesa redonda,Fácil,22.11843766500533,3944,0.00153816,AC,0.07315730700000245,65,0,0,0,0,65
Sorvete,Médio,79.20470778200252,11430,0.0044577,AC,0.15288661399999626,10,0,0,0,0,10
Expressões,Fácil,210.83248280599943,23610,0.0092079,AC,0.5319202240000038,51,0,0,0,0,51
Mancha,Médio,600.7586373029917,67150,0.0261885,NO CODE,0.0,0,0,0,0,0,30
Direção,Fácil,16.030248555005528,2298,0.00089622,AC,0.0429894279999985,24,0,0,0,0,24
Nova avenida,Médio,112.82065520600008,12758,0.00497562,AC,0.1026363659999987,12,0,0,0,0,12
