question_name,difficulty,llm_code_creation_time,total_tokens,cost_prompt,judge_predict,execution_time,AC,WA,RE,TLE,CE,total_test_cases
Caça ao Tesouro_2011,Médio,3.69350271400026,1327,0.006005,AC,0.211337700000513,22,0,0,0,0,22
Gomoku,Médio,2.847446506000324,1642,0.00633,AC,0.306783699999869,30,0,0,0,0,30
Notas da Prova,Fácil,3.469604347999848,809,0.00276,AC,0.16185249999944062,20,0,0,0,0,20
Jogo da Vida,Médio,3.3917095080000763,1680,0.00765,AC,0.5005762000000686,19,0,0,0,0,19
Muro,Médio,2.243696709999768,813,0.00357,WA,0.30187479999949574,4,37,0,0,0,41
O Chefe,Médio,6.372206086000006,1785,0.010275,AC,0.40175730000009935,28,0,0,0,0,28
Proteja sua senha,Médio,3.719249251000292,1296,0.006715,WA,0.1255909999999858,5,5,0,0,0,10
Chinelos,Fácil,2.1767089939999096,958,0.0040825,AC,0.151730999999927,16,0,0,0,0,16
Jogo dos copos,Fácil,2.166339483999764,1003,0.0043075,AC,0.4428792999988218,50,0,0,0,0,50
Tiro ao Alvo,Médio,2.0716724720000457,1087,0.004205,AC,0.43675010000151815,41,0,0,0,0,41
Robô_2021,Médio,1.8461958369998683,1078,0.0040825,AC,0.47412830000030226,50,0,0,0,0,50
Transportes,Difícil,6.263756573999672,2322,0.0125425,TLE,3.0,104,0,0,3,0,107
Jogo de Dominós,Fácil,3.867650578999928,620,0.0019,AC,0.3084285999993881,42,0,0,0,0,42
Arco e flecha,Médio,4.329859231000228,1229,0.00751,RE,1.0886609999997745,7,0,32,0,0,39
Móbile,Médio,2.8456780169999547,1274,0.005885,WA,0.5006723000005877,102,1,0,0,0,103
Campo de Minhocas,Fácil,3.7738449839998793,1135,0.004375,AC,0.19891480000114825,20,0,0,0,0,20
Entrega de Caixas,Fácil,1.565789501999916,777,0.0026925,WA,0.2030285000000731,17,5,0,0,0,22
Cinema,Fácil,1.359202057999937,485,0.002,AC,0.19356910000169592,20,0,0,0,0,20
Montanha,Médio,3.420124245000352,788,0.00297,AC,0.29729909999878146,33,0,0,0,0,33
Torre,Médio,2.995854985999813,921,0.0044775,WA,0.5066029999998136,0,33,0,0,0,33
Mesa redonda,Fácil,2.093645190999723,884,0.00306,AC,0.5506383999982063,65,0,0,0,0,65
Pizzaria,Fácil,3.123725001999901,824,0.002535,AC,0.11251690000062808,10,0,0,0,0,10
Redes de Descanso,Médio,2.3791181369997503,970,0.003775,AC,0.38422820000050706,35,0,0,0,0,35
Mancha,Médio,3.203984782000134,1208,0.0054825,WA,0.2825969999994413,27,3,0,0,0,30
Escher,Fácil,1.920103772999937,770,0.003275,WA,0.48580049999873154,46,8,0,0,0,54
Nova avenida,Fácil,2.1918716889999814,924,0.00421,WA,0.2233596000005491,1,11,0,0,0,12
Game Show,Fácil,1.2485695580003269,1050,0.00335,AC,0.23742630000015197,25,0,0,0,0,25
Manchas de pele,Difícil,3.8959803190000457,1234,0.007285,AC,1.1510328000003938,61,0,0,0,0,61
Castelos da Nlogônia,Médio,4.208062371999858,1244,0.00676,AC,0.4909043000006932,36,0,0,0,0,36
Capitais,Difícil,4.8496162520000325,1013,0.0063825,AC,0.6254102999992028,38,0,0,0,0,38
Quadrado Mágico_2022,Médio,2.614020277000236,836,0.0043775,AC,0.2007501999996748,20,0,0,0,0,20
Piloto Automático,Fácil,1.6137782999999215,718,0.0025825,AC,0.1998636999996961,17,0,0,0,0,17
Falta uma,Fácil,5.016275170999961,919,0.0066225,WA,0.3648529000001872,5,23,0,0,0,28
Palavras Cruzadas_2020,Médio,2.003863044999889,929,0.00351,AC,0.17543529999966267,20,0,0,0,0,20
Piso da escola,Fácil,1.8137920240001224,801,0.00284,AC,0.3056804000007105,30,0,0,0,0,30
Ônibus,Médio,3.248697292000088,901,0.00494,AC,0.23004240000045684,19,0,0,0,0,19
Chocolate em barra,Fácil,1.5067284059996382,826,0.003265,AC,0.26952800000071875,28,0,0,0,0,28
Campo Minado,Fácil,1.3468737779999174,781,0.0028275,AC,0.44186310000077356,48,0,0,0,0,48
Fila_2025,Médio,1.769576132000111,925,0.0036125,AC,0.26916850000088743,26,0,0,0,0,26
Jogo dos Pinos,Fácil,4.50893740499987,953,0.00467,AC,0.18005919999995967,16,0,0,0,0,16
Diagonal,Médio,2.1706427789999907,1081,0.0043525,WA,0.41833950000000186,10,36,0,0,0,46
Sr. Toupeira,Médio,2.802382720999958,1348,0.00572,AC,0.7399079999995593,26,0,0,0,0,26
Sr. Sapo,Difícil,6.920855984999889,1282,0.00773,AC,0.4997752999988734,29,0,0,0,0,29
Duende Perdido,Médio,3.3817655010002454,1261,0.0066275,AC,0.20232290000058128,20,0,0,0,0,20
Bingo!,Médio,2.866128042000128,1043,0.0049325,AC,0.9199556000003213,35,0,0,0,0,35
Ponto do meio,Fácil,1.0962991679998595,684,0.0019975,AC,0.268789800000377,31,0,0,0,0,31
Game-10,Fácil,2.3678510770000685,777,0.00228,AC,0.3859838000007585,46,0,0,0,0,46
TV da Vovó,Médio,3.6743474519998927,1373,0.0073325,WA,0.40270239999881596,0,10,0,0,0,10
Dança Indígena,Difícil,2.925387365000006,1343,0.0060325,WA,0.28150800000003073,9,21,0,0,0,30
Chuva_2016,Médio,2.9650150759998724,914,0.004985,AC,0.4355288999995537,40,0,0,0,0,40
Dança de Formatura,Médio,3.0134074059997147,1608,0.006545,AC,1.6646212999985437,55,0,0,0,0,55
Cubo Preto,Fácil,1.5590567360000025,772,0.002905,AC,0.12492009999914444,11,0,0,0,0,11
Competição de chocolate,Médio,1.7371833859997423,719,0.002685,WA,0.4361813000014081,72,17,0,0,0,89
Reduzindo detalhes em um mapa,Fácil,3.664885160000267,1074,0.0062225,AC,0.7310873999995238,52,0,0,0,0,52
Dominó_2019,Fácil,1.1256651310000052,664,0.00201,AC,0.38349879999987024,42,0,0,0,0,42
Caminho das Pontes,Difícil,3.142732556999817,1409,0.0063725,RE,0.5125435999998444,4,0,26,0,0,30
Macacos me mordam!,Difícil,7.946270261999871,1353,0.00992,WA,1.5580895999992208,16,22,0,0,0,38
Rodovia_2022,Difícil,13.287125898999877,2029,0.01921,WA,3.0,0,11,0,2,0,13
VAR,Fácil,2.155190359000244,734,0.00236,WA,0.31343420000121114,40,1,0,0,0,41
Computador,Difícil,6.317317948999971,1294,0.00851,AC,2.6830993999992643,42,0,0,0,0,42
Pulo do Gato,Médio,2.416875787000208,1025,0.00475,WA,0.448845099999744,9,38,0,0,0,47
Semente,Fácil,1.8540465080000104,753,0.003045,AC,0.3604410000007192,40,0,0,0,0,40
Álbum de fotos,Médio,3.022637865999968,864,0.004385,AC,0.4985742000008031,57,0,0,0,0,57
Toca do Saci,Médio,3.76843456000006,1366,0.0069775,TLE,3.0,32,0,0,19,0,51
Caminhos do reino,Difícil,11.020161968999671,2103,0.016445,WA,1.707797600000049,1,39,0,0,0,40
Cartas,Fácil,1.523385368000163,602,0.00203,AC,0.2686030999993818,30,0,0,0,0,30
Flíper,Fácil,1.869509394000033,645,0.0022,AC,0.13887749999958032,15,0,0,0,0,15
Avião,Médio,1.7247661080000398,1108,0.0039575,AC,0.2777332000005117,32,0,0,0,0,32
Medalhas,Fácil,1.735978355000043,737,0.0026175,AC,0.5356838000006974,69,0,0,0,0,69
Elevador_2018,Fácil,2.3947727089998807,1031,0.00439,WA,0.2661475999993854,22,2,0,0,0,24
Cubra os Furos,Médio,5.092289024000365,1136,0.00754,WA,0.18312890000015614,1,9,0,0,0,10
Carro elétrico,Difícil,5.544109070999639,1413,0.00937,WA,0.20171990000017104,7,12,0,0,0,19
Dario e Xerxes,Fácil,1.7482499699999607,744,0.0029725,WA,0.21304570000029344,17,5,0,0,0,22
O Tabuleiro Esburacado,Fácil,2.799081479000052,1079,0.0053975,AC,0.16711129999930563,20,0,0,0,0,20
Retas,Médio,6.205566456999804,1407,0.0081675,WA,1.948019800000111,22,21,0,0,0,43
Viagem,Difícil,3.797378794999986,1534,0.0075475,AC,0.33302240000011807,28,0,0,0,0,28
Soma,Médio,2.506568582,812,0.0036425,AC,0.7895666000003985,46,0,0,0,0,46
Estoque,Fácil,1.9115146479998657,1121,0.00434,AC,0.2501327999998466,23,0,0,0,0,23
Frete,Médio,2.736009725999793,1128,0.0056325,AC,0.30949189999955706,35,0,0,0,0,35
Caçadores de Mitos,Fácil,2.763794215999951,1037,0.004005,AC,0.5474413000010827,20,0,0,0,0,20
Linhas Cruzadas,Médio,2.866061217000152,811,0.004265,AC,0.6893251000001328,40,0,0,0,0,40
Bolas,Fácil,1.2785529330003556,609,0.0022225,AC,0.1859375000003638,19,0,0,0,0,19
Xadrez Aleatório,Médio,2.451800377999916,789,0.003635,AC,0.42528910000146425,57,0,0,0,0,57
Bombom,Fácil,2.41901116400004,917,0.00443,AC,0.45238919999974314,50,0,0,0,0,50
Câmara de Compensação,Difícil,3.1319037260000187,1549,0.0065975,AC,0.9783260000003793,28,0,0,0,0,28
Taxa,Difícil,6.946219132999886,1579,0.0105975,AC,2.3932905999990908,36,0,0,0,0,36
Atlanta,Fácil,4.119098080000185,1015,0.007075,WA,0.35001369999918097,12,28,0,0,0,40
Fuga com helicóptero,Fácil,1.289162271999885,742,0.002655,WA,0.3787202999992587,0,74,0,0,0,74
Pirâmide,Fácil,2.7061039089999213,859,0.00296,WA,0.34571299999879557,1,38,0,0,0,39
