question_name,difficulty,llm_code_creation_time,total_tokens,cost_prompt,judge_predict,execution_time,AC,WA,RE,TLE,CE,total_test_cases
Torre,Médio,1.4999579589930363,1499,0.00031395,WA,0.9947356849999949,0,33,0,0,0,33
Capitais,Difícil,3.5044855670130346,1575,0.00039015,WA,0.4387250029999734,1,37,0,0,0,38
Chocolate em barra,Fácil,1.391536555980565,1539,0.00032445,WA,0.05128150000001597,13,15,0,0,0,28
Fita Colorida,Médio,1.4750714039837476,1442,0.00029325,AC,0.11097446799999489,31,0,0,0,0,31
Fila_2015,Difícil,8.988323894998757,3119,0.00118695,TLE,3.0,8,0,0,22,0,30
Quebra-cabeça,Médio,1.2929583119985182,1431,0.00028485,AC,0.5349093450000169,24,0,0,0,0,24
Prêmio do Milhão,Fácil,1.0064424199808857,1393,0.00025575,AC,0.0463057240000353,20,0,0,0,0,20
Móbile_2015,Fácil,0.9825833610084374,1181,0.0002189999999999,AC,0.04678096599997161,30,0,0,0,0,30
Família real,Médio,2.199492234009085,1757,0.0004286999999999,WA,0.35825530999994726,0,15,0,0,0,15
Mina,Médio,1.731372009991901,1568,0.00037335,AC,0.10158941700001378,40,0,0,0,0,40
Cálculo,Médio,1.814333625981817,1836,0.00039645,WA,0.053632289000006494,7,22,0,0,0,29
Cobra coral,Fácil,0.9468811269907746,1253,0.0002199,WA,0.060079346999998506,9,16,0,0,0,25
Letras,Médio,1.3557607019902207,1338,0.0002871,RE,0.1376770880000322,0,0,22,0,0,22
Arquivos,Médio,1.0351920459943358,1268,0.00024825,AC,0.24646744600005377,32,0,0,0,0,32
Código,Fácil,0.9011193670157808,1289,0.0002406,AC,0.05304125399999293,28,0,0,0,0,28
Gomoku,Médio,2.18371677401592,2298,0.0004635,AC,0.04849550200000863,30,0,0,0,0,30
Jogo da Vida,Médio,4.307189128012396,2814,0.00054765,AC,0.2623340399999847,19,0,0,0,0,19
Muro,Médio,1.323070145008387,1396,0.00029085,AC,0.07208024700000237,41,0,0,0,0,41
Lâmpadas do hotel,Fácil,5.238630711013684,1409,0.00027255,WA,0.08258680199998025,26,28,0,0,0,54
Chinelos,Médio,1.558239408012014,1589,0.0003184499999999,AC,0.039147565999996914,16,0,0,0,0,16
Hotel,Fácil,1.4461897849978411,1506,0.0002898,WA,0.057780790000009574,20,10,0,0,0,30
Jogo dos copos,Fácil,1.3194500469835475,1627,0.00032235,AC,0.07156777999998098,50,0,0,0,0,50
Carnaval,Fácil,0.5857738060003612,1186,0.00017925,WA,0.07316670100001943,0,40,0,0,0,40
Tiro ao Alvo,Médio,1.4014148660062349,1643,0.00032385,WA,0.528304200000008,1,40,0,0,0,41
Transportes,Difícil,2.378105542011326,2807,0.00059835,TLE,3.0,75,0,0,32,0,107
Álbum da copa,Fácil,1.7703111399896443,1423,0.0002643,AC,0.05880419700000061,25,0,0,0,0,25
Jogo de Dominós,Fácil,0.942734976997599,1218,0.0002110499999999,AC,0.0699939689999951,42,0,0,0,0,42
Arco e flecha,Difícil,1.628607742022723,1692,0.0003545999999999,WA,1.9140800779999836,9,30,0,0,0,39
Quadrado Mágico,Fácil,3.0852519850013778,1575,0.00038835,WA,0.16720680599999582,0,10,30,0,0,40
Quase primo,Médio,1.4066707239835523,1433,0.00029505,TLE,3.0,53,0,0,10,0,63
Lâmpadas,Fácil,1.128442446002737,1293,0.0002493,AC,0.14478930299998183,40,0,0,0,0,40
Caça ao Tesouro_2002,Difícil,2.1305179780174512,2225,0.0004953,AC,2.1823703100089915,9,0,0,0,0,9
Rodovia_2013,Difícil,1.5205134419957176,1614,0.0003384,WA,0.2726520319993142,63,15,0,0,0,78
Coleção de Upas,Médio,1.6850198910105971,1662,0.00036945,WA,0.6951835570000071,11,31,0,0,0,42
Cinema,Fácil,0.9774518139893188,1136,0.0002108999999999,AC,0.044535960000018804,20,0,0,0,0,20
Fila,Médio,1.056783109990647,1436,0.00026895,AC,0.28305872599997883,44,0,0,0,0,44
Montanha,Fácil,1.0236592589935751,1396,0.0002643,AC,0.054156309000006786,33,0,0,0,0,33
Chuva,Médio,1.632955283013871,1546,0.00033495,RE,0.16045808399999828,2,7,16,0,0,25
Festa olímpica,Difícil,1.933946677978384,1836,0.0003825,WA,0.0780139719999795,0,34,0,0,0,34
"Pô, que mão",Fácil,1.1168891389970668,1390,0.00026655,WA,0.10456720800002017,119,1,0,0,0,120
Relógio,Médio,1.2898562409973238,1564,0.00030795,AC,0.08765073700001835,52,0,0,0,0,52
Mesa redonda,Fácil,1.236793635005597,1501,0.0002814,WA,0.09770498099999259,0,65,0,0,0,65
Sorvete,Médio,2.1555198100104462,1855,0.0003880499999999,AC,0.20398465099998475,10,0,0,0,0,10
Expressões,Fácil,1.3611424260016065,1580,0.0003252,AC,0.6370031649999817,51,0,0,0,0,51
Mancha,Médio,3.484527736000018,2093,0.00053445,WA,3.0,19,6,0,5,0,30
Direção,Fácil,1.2542931270145343,1191,0.0002295,AC,0.05552657900000213,24,0,0,0,0,24
Nova avenida,Médio,0.9853380449931136,1371,0.000207,WA,0.04039104000000293,0,12,0,0,0,12
Telescópio,Fácil,1.072920217004139,1783,0.0003164999999999,AC,0.12122759900000801,33,0,0,0,0,33
Game Show,Fácil,0.8755863359838258,1703,0.00029685,AC,0.05077309199998581,25,0,0,0,0,25
