question_name,difficulty,llm_code_creation_time,total_tokens,cost_prompt,judge_predict,execution_time,AC,WA,RE,TLE,CE,total_test_cases
Gomoku,Médio,21.420508215000154,2358,0.0076159999999999,AC,0.05151647000002413,30,0,0,0,0,30
Jogo da Vida,Médio,20.621439711,2890,0.0088799999999999,AC,0.5878450190000422,19,0,0,0,0,19
Muro,Médio,23.716339282999968,1420,0.00437,AC,0.0670126640000035,41,0,0,0,0,41
Lâmpadas do hotel,Fácil,20.58792177700002,1393,0.0035659999999999,AC,0.09022783499995057,54,0,0,0,0,54
Chinelos,Médio,18.57522490700001,1585,0.00475,AC,0.040997210999989875,16,0,0,0,0,16
Hotel,Fácil,23.10981545200002,1496,0.003932,AC,0.06496037600004456,30,0,0,0,0,30
Jogo dos copos,Fácil,12.025478158,1650,0.0052,AC,0.11428616900002453,50,0,0,0,0,50
Carnaval,Fácil,14.075102195,1278,0.0032259999999999,AC,0.0638416760000382,40,0,0,0,0,40
Tiro ao Alvo,Médio,20.994111447000023,1703,0.005436,AC,0.5865689710000197,41,0,0,0,0,41
Transportes,Difícil,75.13030972000001,3083,0.012696,TLE,3.0,84,0,0,23,0,107
Álbum da copa,Fácil,11.192433611999832,1422,0.003764,AC,0.05800173199997971,25,0,0,0,0,25
Jogo de Dominós,Fácil,7.226878143000022,1238,0.003006,AC,0.06698138800004472,42,0,0,0,0,42
Arco e flecha,Difícil,75.19264451599997,2019,0.009258,TLE,3.015815198000041,24,0,0,15,0,39
Quadrado Mágico,Fácil,23.57209238599989,1499,0.005398,RE,0.21605211399992186,0,0,40,0,0,40
Quase primo,Médio,57.788998655000114,1545,0.00565,AC,0.10953803999996126,63,0,0,0,0,63
Lâmpadas,Fácil,14.773783496000078,1282,0.003294,AC,0.16187634200002776,40,0,0,0,0,40
Caça ao Tesouro_2002,Difícil,30.951347708999947,2220,0.0079,AC,0.0325228219999189,9,0,0,0,0,9
Rodovia_2013,Difícil,42.46461383099995,1791,0.006852,AC,0.1378609179998875,78,0,0,0,0,78
Coleção de Upas,Médio,26.91995700500001,1659,0.005638,AC,0.763697709999974,42,0,0,0,0,42
Cinema,Fácil,7.856442384999809,1225,0.0038399999999999,AC,0.05331936499999301,20,0,0,0,0,20
Fila,Médio,10.1428380750001,1466,0.004062,AC,0.3012750609999557,44,0,0,0,0,44
Montanha,Fácil,10.74797791800006,1417,0.003974,AC,0.0637217349999446,33,0,0,0,0,33
