question_name,difficulty,llm_code_creation_time,total_tokens,cost_prompt,judge_predict,execution_time,AC,WA,RE,TLE,CE,total_test_cases
Gomoku,Médio,3.9945501099991816,2166,0.00839,AC,0.05235443500009751,30,0,0,0,0,30
Jogo da Vida,Médio,4.515478259001611,2187,0.0100675,AC,0.19841862999987825,19,0,0,0,0,19
Muro,Médio,2.8593758290007827,1269,0.00526,AC,0.05110997700012376,41,0,0,0,0,41
Lâmpadas do hotel,Fácil,1.894072392999078,1247,0.0039425,WA,0.06963507299997218,26,28,0,0,0,54
Chinelos,Médio,3.225880050998967,1427,0.005305,AC,0.03300106400001823,16,0,0,0,0,16
Hotel,Fácil,1.3907171070004551,1293,0.00412,AC,0.052703377999932854,30,0,0,0,0,30
Jogo dos copos,Fácil,2.295113890000721,1472,0.0055425,AC,0.060391406999997344,50,0,0,0,0,50
Carnaval,Fácil,1.1904066219995002,1106,0.0032525,AC,0.05951872400009961,40,0,0,0,0,40
Tiro ao Alvo,Médio,2.096857087999524,1506,0.00564,AC,0.48564148499986004,41,0,0,0,0,41
Transportes,Difícil,7.175844990000769,2877,0.01493,WA,3.0,11,72,0,24,0,107
Álbum da copa,Fácil,2.334270015999209,1266,0.00399,AC,0.044647187999999005,25,0,0,0,0,25
Jogo de Dominós,Fácil,1.081864163001228,1103,0.003345,AC,0.0699214920000486,42,0,0,0,0,42
Arco e flecha,Difícil,4.176111516000674,1609,0.0072725,WA,1.1036674450001556,11,28,0,0,0,39
Quadrado Mágico,Fácil,2.698469101000228,1330,0.0059125,RE,0.09833238099986374,0,30,10,0,0,40
Quase primo,Médio,2.7381619480001973,1289,0.00501,AC,0.30031054699998094,63,0,0,0,0,63
Lâmpadas,Fácil,1.458158035999077,1169,0.00401,AC,0.13032358200007366,40,0,0,0,0,40
Caça ao Tesouro_2002,Difícil,3.086599107999064,1946,0.0077775,AC,0.0435022249985195,9,0,0,0,0,9
Rodovia_2013,Difícil,3.088403700001436,1509,0.0063225,AC,0.1949094530009461,78,0,0,0,0,78
Coleção de Upas,Médio,3.004334139999628,1498,0.006595,WA,0.8371623979999185,0,42,0,0,0,42
Cinema,Fácil,2.0241688059995795,1003,0.00337,AC,0.048117765999904805,20,0,0,0,0,20
Fila,Médio,1.6561115110016544,1298,0.004545,AC,0.2620440900000176,44,0,0,0,0,44
Montanha,Fácil,1.5144210340004065,1259,0.0042475,AC,0.06484661400008918,33,0,0,0,0,33
Chuva,Médio,2.5757028049993096,1360,0.0055125,RE,0.12937720099989747,2,7,16,0,0,25
Festa olímpica,Difícil,3.380421865000244,1681,0.00709,TLE,3.0,31,0,0,3,0,34
"Pô, que mão",Fácil,2.3516578569997364,1207,0.004055,AC,0.08531798100011656,120,0,0,0,0,120
Relógio,Médio,1.7198648089997732,1371,0.00484,AC,0.07675240599996869,52,0,0,0,0,52
Torre,Médio,2.6196838849991764,1377,0.00583,WA,1.1026528610000241,0,33,0,0,0,33
Mesa redonda,Fácil,1.4492030809997232,1338,0.0043075,AC,0.06854854600010185,65,0,0,0,0,65
Sorvete,Médio,2.607387029000165,1666,0.006965,AC,0.19782367599987083,10,0,0,0,0,10
Expressões,Fácil,2.1413647809986287,1413,0.00547,AC,0.5977323520000937,51,0,0,0,0,51
Mancha,Médio,3.2613338800001657,1730,0.0075125,AC,0.48220862599987413,30,0,0,0,0,30
Direção,Fácil,3.0897615309986577,1070,0.00375,AC,0.053379071999870575,24,0,0,0,0,24
Nova avenida,Médio,2.144147471000906,1388,0.00537,WA,0.1498897129999932,1,11,0,0,0,12
Telescópio,Fácil,1.8857288159997552,1552,0.0048925,AC,0.09070074400005979,33,0,0,0,0,33
Game Show,Fácil,1.57687820999854,1544,0.004785,AC,0.05644020999989152,25,0,0,0,0,25
Manchas de pele,Difícil,4.028827076001107,1585,0.0081374999999999,AC,1.2783659649999208,61,0,0,0,0,61
Temperatura Lunar,Médio,2.965911880000931,1675,0.00685,WA,0.0907495020001079,2,8,0,0,0,10
Castelos da Nlogônia,Difícil,4.198527112001102,1792,0.00918,AC,0.05302125100001831,36,0,0,0,0,36
Matriz Escada,Médio,2.0506804779997765,1374,0.0053475,AC,0.23950287299999218,59,0,0,0,0,59
Pedágio_2002,Médio,7.764272968001023,1789,0.0085975,WA,0.1768514989998948,0,10,0,0,0,10
Fusões,Médio,2.7004716499996,1630,0.0071,AC,0.29159088400001565,29,0,0,0,0,29
Capitais,Difícil,3.154306514001292,1421,0.007065,AC,0.5253285630001301,38,0,0,0,0,38
Falta uma,Fácil,4.504708208000011,1253,0.0058325,WA,0.29990366999982143,11,17,0,0,0,28
Sanduíche,Médio,6.955309341999964,1871,0.0121275,RE,3.0,0,0,50,29,0,79
Blefe,Médio,2.2688723570008733,1394,0.0052475,AC,2.3020440830000553,50,0,0,0,0,50
Tabela do campeonato,Médio,3.033317919000183,1561,0.00699,WA,0.0999337480000122,87,37,0,0,0,124
Clube dos Cinco,Difícil,1.5280405579997025,1396,0.0045275,AC,0.11268440300000293,81,0,0,0,0,81
Piso da escola,Fácil,1.4261317370001052,1284,0.004285,AC,0.053227851999963605,30,0,0,0,0,30
Caravana,Fácil,1.408223762000489,1260,0.0040625,AC,0.022678382999856694,8,0,0,0,0,8
Ônibus,Médio,2.46102933200018,1340,0.0057374999999999,AC,0.08515508200002841,19,0,0,0,0,19
Chocolate_2012,Fácil,1.2431395889998385,1074,0.003385,AC,0.08042807400011043,50,0,0,0,0,50
Chocolate em barra,Fácil,1.6992813060005574,1318,0.004545,AC,0.05680124199989223,28,0,0,0,0,28
Altas Aventuras,Difícil,2.779827586000465,1357,0.00523,AC,0.1774785250001969,53,0,0,0,0,53
Jogo dos Pinos,Fácil,2.216319609000493,1406,0.005765,AC,0.041650997000033385,16,0,0,0,0,16
Fechadura,Fácil,1.6390797249987372,1280,0.004475,WA,0.07923879800000577,0,50,0,0,0,50
Sr. Toupeira,Médio,2.288589158000832,1823,0.007045,AC,0.6542093969999314,26,0,0,0,0,26
Sr. Sapo,Médio,3.4311092629995983,1631,0.0075025,AC,0.15526410600000418,29,0,0,0,0,29
Fita Colorida,Médio,3.0134906629991747,1358,0.0057075,AC,0.06333128999995097,31,0,0,0,0,31
Ponto do meio,Médio,1.3549196169988136,1195,0.0035875,AC,0.062326799000175015,31,0,0,0,0,31
Ogro_2024,Fácil,1.344471157000953,1199,0.0037225,AC,0.04427610200013987,20,0,0,0,0,20
Pirâmide_2022,Médio,1.671817775000818,1356,0.004615,WA,0.0777725799998734,1,38,0,0,0,39
Game-10,Fácil,1.048326612000892,1289,0.00386,AC,0.08697011800018117,46,0,0,0,0,46
Restaurante de pizza,Fácil,1.8719828539997247,1292,0.0041925,AC,0.07601829500003987,60,0,0,0,0,60
Zip,Fácil,1.7777328020001733,1316,0.00489,AC,0.07430841099994723,40,0,0,0,0,40
Consecutivos,Fácil,1.6783485609994386,1203,0.00442,AC,0.1307621089999884,50,0,0,0,0,50
Dança de Formatura,Médio,2.8421565480002755,2079,0.00786,AC,2.2651629570000296,55,0,0,0,0,55
Estrada,Médio,2.344093903000612,1327,0.0054925,AC,0.05866755200008811,30,0,0,0,0,30
Duplas de tênis,Fácil,1.6934387709989096,1111,0.00374,AC,0.06092371499994442,40,0,0,0,0,40
Show,Médio,2.190915010998652,1460,0.0055625,WA,0.05023641399998269,19,6,0,0,0,25
Loteria,Fácil,1.8563202719997207,1263,0.0044575,AC,0.06240418399988812,39,0,0,0,0,39
Cubo Preto,Fácil,1.8481667939995527,1255,0.00435,AC,0.027150391999839485,11,0,0,0,0,11
Robô,Fácil,1.895975158999136,1551,0.005415,WA,0.06441189099996336,0,30,0,0,0,30
Etiquetas,Difícil,4.048373855999671,1390,0.00735,WA,3.0,1,52,0,8,0,61
Campeonato,Fácil,1.9690412879990613,1276,0.004465,AC,0.09166208700003153,50,0,0,0,0,50
Dominó_2001,Médio,5.668384385000536,1541,0.0083775,AC,0.0502416550007183,10,0,0,0,0,10
Reduzindo detalhes em um mapa,Médio,3.637049167000441,1540,0.0074625,AC,0.7616307099999631,52,0,0,0,0,52
Caminho das Pontes,Médio,2.620634909000728,1878,0.00752,RE,0.22868389199993544,4,0,26,0,0,30
