question_name,difficulty,llm_code_creation_time,total_tokens,cost_prompt,judge_predict,execution_time,AC,WA,RE,TLE,CE,total_test_cases
Caça ao Tesouro_2011,Médio,2.3053539729953627,1470,0.0017649,AC,0.24064680000083172,22,0,0,0,0,22
Gomoku,Médio,8.947933650000778,1816,0.0019221,AC,0.26164649999918765,30,0,0,0,0,30
Notas da Prova,Fácil,0.9042599559979864,904,0.00052755,WA,0.1866595999999845,2,18,0,0,0,20
Jogo da Vida,Médio,2.505616490998364,2432,0.0023889,AC,0.5417223999993439,19,0,0,0,0,19
Muro,Médio,1.4905275999990408,948,0.00117765,WA,0.39676669999971637,3,38,0,0,0,41
O Chefe,Médio,5.1040262110036565,2172,0.0044208,RE,0.5931794999996782,0,0,28,0,0,28
Proteja sua senha,Médio,2.78670227600378,1458,0.0022310999999999,WA,0.14009530000112136,5,5,0,0,0,10
Chinelos,Fácil,1.1727237819941363,1034,0.00087465,AC,0.1457457999986218,16,0,0,0,0,16
Jogo dos copos,Fácil,1.3202540280035464,1098,0.00101295,AC,0.4039704000006168,50,0,0,0,0,50
Tiro ao Alvo,Médio,1.9346627190025167,1241,0.00128595,WA,0.4780378000014025,5,36,0,0,0,41
Robô_2021,Médio,1.5738668460035117,1218,0.00125325,AC,0.41727670000000217,50,0,0,0,0,50
Transportes,Difícil,2.50689912300004,2192,0.00200775,WA,1.4247501000008924,65,42,0,0,0,107
Jogo de Dominós,Fácil,3.109008934996382,699,0.00036225,AC,0.34789050000108546,42,0,0,0,0,42
Arco e flecha,Médio,1.5071984929963946,1157,0.0013377,TLE,3.0,37,0,0,2,0,39
Móbile,Médio,6.321044079006242,1318,0.00122145,AC,0.7156730000006064,103,0,0,0,0,103
Campo de Minhocas,Fácil,1.8797026210013428,1327,0.0013398,AC,0.2556347999998252,20,0,0,0,0,20
Entrega de Caixas,Fácil,1.599528286998975,967,0.00103425,WA,0.1943554999998014,17,5,0,0,0,22
Cinema,Fácil,1.1663948130008066,622,0.00087135,WA,0.24450459999934537,3,17,0,0,0,20
Montanha,Médio,1.1870464349995018,893,0.0008301,AC,0.3125099999997474,33,0,0,0,0,33
Torre,Médio,1.5045463369970091,1040,0.0013962,WA,0.6111672000006365,0,33,0,0,0,33
Mesa redonda,Fácil,1.2203644109977176,997,0.00074625,RE,0.805930199998329,36,4,25,0,0,65
Pizzaria,Fácil,0.9051420370014966,931,0.00037365,AC,0.15125520000037795,10,0,0,0,0,10
Redes de Descanso,Médio,1.47895683599927,1128,0.0011871,AC,0.41981050000140385,35,0,0,0,0,35
Mancha,Médio,3.0491599020024296,1576,0.00300345,TLE,3.0,6,0,0,24,0,30
Escher,Fácil,1.4641331480015651,882,0.0009513,AC,0.43332829999962996,54,0,0,0,0,54
Nova avenida,Fácil,1.3596703670045829,1021,0.0010482,AC,0.240490400001363,12,0,0,0,0,12
Game Show,Fácil,1.0090498669960652,1185,0.0006984,AC,0.26280149999911373,25,0,0,0,0,25
Manchas de pele,Difícil,2.588406450006005,1272,0.0019926,AC,1.6594789000009769,61,0,0,0,0,61
Castelos da Nlogônia,Médio,2.238863209000556,1348,0.002121,AC,0.3676314000003913,36,0,0,0,0,36
Capitais,Difícil,3.276683602001868,1193,0.0026885999999999,WA,0.6110263999999006,15,23,0,0,0,38
Quadrado Mágico_2022,Médio,2.841006827999081,1072,0.00215565,AC,0.19556859999829612,20,0,0,0,0,20
Piloto Automático,Fácil,3.60657276299753,816,0.00053775,AC,0.1693369000004168,17,0,0,0,0,17
Falta uma,Fácil,6.12153695699817,780,0.0009477,AC,0.43374820000099135,28,0,0,0,0,28
Palavras Cruzadas_2020,Médio,1.613562582002487,1062,0.00100755,AC,0.25371719999930065,20,0,0,0,0,20
Piso da escola,Fácil,0.978799390999484,903,0.00055665,WA,0.3138966000005894,5,25,0,0,0,30
